Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count
2.77,0,0,0,0.05,1087,784,609,604684154870,49353826,95.2981,10314,2050,409
0.81,0,0,0,0.02,827,605,477,322713574989,376006093,104.8971,10730,2881,458
0.74,0,0,0,0.01,733,462,500,475467129048,38863003,109.6916,11004,1329,421
0.68,0,0,0,0.01,1002,821,763,421654904254,74070061,120.5988,11679,2037,415
1.06,0,0,0,0,2343,2132,2112,77838819162,163481740,134.7695,13576,4963,438
1.25,0,0,0,0.02,907,581,685,444902379011,70102332,143.0004,13913,2036,474
1.78,0,0,0,0.02,1275,872,993,268683475202,88234087,156.6101,14459,2842,504
1.8,0,0,0,0.01,1595,1115,1188,193455494453,78746522,196.7576,15024,3174,555
1.79,0,0,0,0.01,1314,857,1064,144368937208,59565914,227.665,15407,2284,441
1.37,0,0,0,0,1203,765,989,120940093311,58241191,231.8948,15698,2440,385
1.2,0,0,0,0,1250,816,1000,132149993345,60515132,258.9066,15984,2512,377
1.27,0,0,0,0.01,1295,834,1048,146513014268,66816413,270.4645,16268,2494,390
1.26,0,0,0,0.01,1351,823,1148,194583349948,91746712,284.0496,16553,3246,361
1.48,0,0,0,0,1168,658,992,99011782801,63112713,221.4382,16773,2303,257
1.44,0,0,0,0,1426,913,1231,79543407701,106379973,277.282,17070,3919,338
1.39,0,0,0,0.02,1415,840,1242,552841333007,90744195,312.6127,17313,3579,323
1.35,0,0,0,0,1571,885,1417,73439482806,117802449,317.1623,17662,4190,320
1.24,0,0,0,0,1437,873,1290,92409814705,97648912,333.3458,17839,4432,377
1.17,0,0,0,0,1581,951,1406,76432335617,114480057,325.2465,18089,4487,335
1.16,0,0,0,0,1528,883,1393,60481160549,99511209,343.1277,18298,4156,303
1.13,0,0,0,0,1592,929,1427,59307091958,147888097,341.1168,18508,5590,266
1.3,0,0,0,0,1532,919,1376,92879907335,111903559,355.2287,18687,4758,257
1.18,0,0,0,0,1376,839,1248,56211090684,99107570,351.453,18815,4139,232
1.32,0,0,0,0,1625,931,1495,55155494457,102643603,340.144,19017,4572,179
1.35,0,0,0,0,1516,947,1386,58423521569,129040364,359.3523,19168,5196,182
1.35,0,0,0,0,1556,916,1432,56671549652,140186844,363.4134,19349,5153,171
1.29,0,0,0,0,1515,875,1400,59243651401,139367393,355.9032,19500,5195,135
1.26,0,0,0,0,1449,778,1343,55051483461,126323875,339.3088,19646,4777,126
1.27,0,0,0,0,1451,761,1355,58779015464,167169621,350.0661,19791,5642,232
1.37,0,0,0,0,1487,830,1388,54768144366,159443421,374.917,19955,5519,274
1.3,0,0,0,0,1588,965,1406,55089818552,142769611,388.4451,20081,5521,345
1.24,0,0,0,0,1633,969,1511,53594260637,170954165,379.8349,20308,5702,343
1.23,0,0,0,0,1546,1003,1408,64932639811,159613715,370.7395,20433,5622,348
1.21,0,0,0,0,1544,980,1428,53779997784,173606036,386.1935,20609,5604,345
1.16,0,0,0,0,1540,989,1406,54630657670,141533806,392.0801,20711,5341,383
0.98,0,0,0,0,1702,1088,1578,55713802958,160019709,421.6556,20897,6460,411
