Date(UTC),Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count,VelCur1yr,TxCnt,TxTfrCnt,TxTfrValMeanNtv,SplyAct1d,SplyAct7d,SplyAct30d,NVTAdj,NVTAdjFF,CapMVRVCur,CapMVRVFF
08/08/2015,0.81,0,0,0,0.02,827,605,477,322713574989,376006093,104.8971,10730,2881,458,0.2156441125,2881,2663,5101.056788,14592184.72,14624108.23,14748634.4,5.38980006,4.44229244,5.78278879,4.76619516
08/09/2015,0.74,0,0,0,0.01,733,462,500,475467129048,38863003,109.6916,11004,1329,421,0.2316873567,1329,1266,921.2871762,14820278.22,15105819.27,15240236.52,70.37407159,58.0072093,4.88081534,4.02310781
08/10/2015,0.68,0,0,0,0.01,1002,821,763,421654904254,74070061,120.5988,11679,2037,415,0.2547100854,2037,2078,804.82935,2844661.055,15933321.34,16089014.24,49.82435968,41.07207186,4.62344756,3.8112797
08/11/2015,1.06,0,0,0,0,2343,2132,2112,77838819162,163481740,134.7695,13576,4963,438,0.2751563032,4963,5047,294.6817505,2794808.605,16321032.83,16489849.35,60.22035209,49.64597056,3.83427474,3.16099598
08/12/2015,1.25,0,0,0,0.02,907,581,685,444902379011,70102332,143.0004,13913,2036,474,0.2854409713,2036,1968,382.2810121,2932187.751,16608633.73,16780725.73,113.7612635,93.79292558,4.70208081,3.87673187
08/13/2015,1.78,0,0,0,0.02,1275,872,993,268683475202,88234087,156.6101,14459,2842,504,0.3099930051,2842,2792,639.9636182,3168799.672,17207110.65,17391075.04,46.93799647,38.70225764,6.08626751,5.01837128
08/14/2015,1.8,0,0,0,0.01,1595,1115,1188,193455494453,78746522,196.7576,15024,3174,555,0.3415862626,3174,3085,745.3638133,3886623.831,18281003.29,18473649.98,36.93541976,30.45751405,5.43349984,4.48054737
08/15/2015,1.79,0,0,0,0.01,1314,857,1064,144368937208,59565914,227.665,15407,2284,441,0.4479830251,2284,2202,3507.792283,14558916.62,17263945.14,17849706.66,9.60305969,8.32900958,4.41871028,3.83247438
08/16/2015,1.37,0,0,0,0,1203,765,989,120940093311,58241191,231.8948,15698,2440,385,0.4716018933,2440,2381,724.6076911,14697453.34,15411112.04,18508117.7,47.62980327,41.31305731,3.78569826,3.28363248
08/17/2015,1.2,0,0,0,0,1250,816,1000,132149993345,60515132,258.9066,15984,2512,377,0.5183503411,2512,2520,1351.345953,15710289.56,18088616.76,18729815.33,33.36085742,29.42485961,3.81169381,3.3619806
